TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531156008146;-;-;-0.34009278;0.6945557;9.996812;-0.063903295;0.072321884;0.021173535;14.1;58.65;-42.15;-;-;-;-;-;-;-;-;-
1531156008146;-;-;-0.34009278;0.6945557;9.996812;-0.063903295;0.072321884;0.021173535;14.1;58.65;-42.15;-;-;-;-;-;-;-;-;-
1531156008162;-;-;-0.43110353;0.5987549;10.332115;-0.05538118;0.12931353;0.023304064;14.1;58.65;-42.15;-;-;-;-;-;-;-;-;-
1531156008165;-;-;-0.4167334;0.56522465;10.289004;-0.048989594;0.13677038;0.022771431;12.450001;60.600002;-44.25;-;-;-;-;-;-;-;-;-
1531156008175;-;-;-0.49337405;0.6322852;10.126143;-0.029282203;0.1500862;0.037152503;12.450001;60.600002;-44.25;-;-;-;-;-;-;-;-;-
1531156008185;-;-;-0.40715334;0.613125;10.087823;-0.020760087;0.16340199;0.038217768;13.200001;59.850002;-44.25;-;-;-;-;-;-;-;-;-
1531156008196;-;-;-0.31135255;0.6227051;9.934542;-0.035141155;0.15274934;0.027565122;13.200001;59.850002;-44.25;-;-;-;-;-;-;-;-;-
1531156008206;-;-;-0.26345217;0.6466553;9.953702;-0.04259801;0.14156407;0.025434593;13.650001;58.95;-43.65;-;-;-;-;-;-;-;-;-
1531156008216;-;-;-0.2203418;0.60354495;9.72378;-0.07242541;0.11333457;-0.0043928106;13.650001;58.95;-43.65;-;-;-;-;-;-;-;-;-
1531156008227;-;-;-0.2778223;0.51732427;9.766891;-0.09639386;0.11386719;-0.017175986;13.500001;57.750004;-43.5;-;-;-;-;-;-;-;-;-
1531156008237;-;-;-0.37362307;0.488584;10.0063925;-0.12249284;0.08350716;-0.018241249;13.500001;57.750004;-43.5;-;-;-;-;-;-;-;-;-
1531156008248;-;-;-0.4023633;0.52690434;10.154883;-0.11397073;0.08350716;-0.03049179;12.450001;59.100002;-45.600002;-;-;-;-;-;-;-;-;-
1531156008257;-;-;-0.43110353;0.5604346;10.327325;-0.088937014;0.09309454;-0.031024422;12.450001;59.100002;-45.600002;-;-;-;-;-;-;-;-;-
1531156008267;-;-;-0.4023633;0.5412744;10.394385;-0.052185386;0.10800824;-0.04327496;13.650001;59.7;-42.45;-;-;-;-;-;-;-;-;-
1531156008277;-;-;-0.48379397;0.4406836;10.2315235;0.0026757307;0.15381461;-0.042209696;13.650001;59.7;-42.45;-;-;-;-;-;-;-;-;-
1531156008288;-;-;-0.5843848;0.4263135;10.111773;0.021850491;0.18310939;-0.049133915;15.150001;58.65;-44.100002;-;-;-;-;-;-;-;-;-
1531156008298;-;-;-0.6706055;0.5412744;9.992022;0.036231562;0.15754303;-0.026763365;15.150001;58.65;-44.100002;-;-;-;-;-;-;-;-;-
1531156008308;-;-;-0.6658155;0.52690434;9.833951;0.03303577;0.1389009;-0.026763365;13.650001;58.95;-41.25;-;-;-;-;-;-;-;-;-
1531156008319;-;-;-0.5460645;0.53169435;9.699829;0.030372607;0.07764821;0.012118788;13.650001;58.95;-41.25;-;-;-;-;-;-;-;-;-
1531156008329;-;-;-0.46463382;0.57001466;9.68067;0.020252595;0.051016595;0.017977742;14.250001;60.600002;-40.65;-;-;-;-;-;-;-;-;-
1531156008339;-;-;-0.48379397;0.5460645;9.560919;-0.005846385;-0.01716033;0.017977742;14.250001;60.600002;-40.65;-;-;-;-;-;-;-;-;-
1531156008350;-;-;-0.4981641;0.5508545;9.608819;-0.010640075;-0.042194046;0.011053524;14.700001;58.65;-43.350002;-;-;-;-;-;-;-;-;-
1531156008360;-;-;-0.5029541;0.5364844;9.594449;-0.025553778;-0.100783594;0.010520891;14.700001;58.65;-43.350002;-;-;-;-;-;-;-;-;-
1531156008370;-;-;-0.488584;0.51732427;9.833951;-0.029282203;-0.117827825;-0.0059907073;14.1;57.9;-41.25;-;-;-;-;-;-;-;-;-
1531156008381;-;-;-0.44547364;0.44547364;10.154883;-0.010640075;-0.13274153;-0.026763365;14.1;57.9;-41.25;-;-;-;-;-;-;-;-;-
1531156008391;-;-;-0.6514453;0.40715334;10.121353;0.003208363;-0.12102362;-0.028893894;13.500001;58.500004;-43.5;-;-;-;-;-;-;-;-;-
1531156008401;-;-;-0.4742139;0.37362307;10.164463;0.040492617;-0.07734777;-0.0043928106;13.500001;58.500004;-43.5;-;-;-;-;-;-;-;-;-
1531156008411;-;-;-0.50774413;0.43589357;10.102193;0.06765687;0.014264971;0.019575639;13.650001;59.7;-45.0;-;-;-;-;-;-;-;-;-
1531156008421;-;-;-0.613125;0.5508545;10.030342;0.07351582;0.044092376;0.02436933;13.650001;59.7;-45.0;-;-;-;-;-;-;-;-;-
1531156008431;-;-;-0.60354495;0.4981641;10.092612;0.08203793;0.004144958;0.04354409;13.650001;58.350002;-44.550003;-;-;-;-;-;-;-;-;-
1531156008442;-;-;-0.57959473;0.5125342;9.958491;0.08842952;-0.017692963;0.045141988;13.650001;58.350002;-44.550003;-;-;-;-;-;-;-;-;-
1531156008451;-;-;-0.488584;0.60833496;9.992022;0.09482111;-0.032074034;0.039815664;14.55;59.100002;-43.050003;-;-;-;-;-;-;-;-;-
1531156008461;-;-;-0.4981641;0.5508545;9.877061;0.0799074;-0.038998254;0.027032489;14.55;59.100002;-43.050003;-;-;-;-;-;-;-;-;-
1531156008471;-;-;-0.60833496;0.47900394;9.958491;0.06392844;-0.06722776;0.02436933;14.1;58.65;-42.45;-;-;-;-;-;-;-;-;-
1531156008481;-;-;-0.5748047;0.45984375;9.920172;0.054341055;-0.0794783;0.035554606;14.1;58.65;-42.45;-;-;-;-;-;-;-;-;-
1531156008491;-;-;-0.5843848;0.5412744;9.829161;0.04688421;-0.07468461;0.06644727;14.55;57.750004;-42.300003;-;-;-;-;-;-;-;-;-
1531156008502;-;-;-0.4981641;0.5891748;10.020762;0.033570014;-0.09492805;0.07815673;13.650001;59.7;-44.100002;-;-;-;-;-;-;-;-;-
1531156008512;-;-;-0.34488282;0.64186525;10.121353;0.03676581;-0.104515426;0.07815673;13.650001;59.7;-44.100002;-;-;-;-;-;-;-;-;-
1531156008522;-;-;-0.20597169;0.6849756;10.106983;0.04848372;-0.089601725;0.07176515;14.55;58.800003;-43.95;-;-;-;-;-;-;-;-;-
1531156008532;-;-;-0.33530274;0.6514453;9.944121;0.060201626;-0.06403538;0.042470373;14.55;58.800003;-43.95;-;-;-;-;-;-;-;-;-
1531156008542;-;-;-0.3305127;0.6610254;10.078242;0.060734257;-0.053915367;0.04886196;14.400001;58.350002;-42.9;-;-;-;-;-;-;-;-;-
1531156008553;-;-;-0.2682422;0.7185059;10.178833;0.07671322;-1.1951302E-4;0.047796696;14.400001;58.350002;-42.9;-;-;-;-;-;-;-;-;-
1531156008563;-;-;-0.32093263;0.6610254;10.106983;0.08310482;0.008402603;0.05099249;14.400001;58.95;-44.100002;-;-;-;-;-;-;-;-;-
1531156008573;-;-;-0.17244141;0.7185059;10.035132;0.106540635;-0.03047955;0.030752465;14.400001;58.95;-44.100002;-;-;-;-;-;-;-;-;-
1531156008584;-;-;-0.16286133;0.7376661;9.857901;0.10014905;-0.04539325;0.01530613;12.900001;58.050003;-43.050003;-;-;-;-;-;-;-;-;-
1531156008594;-;-;-0.22513184;0.7089258;9.857901;0.07990901;-0.058176424;-0.0129233785;12.900001;58.050003;-43.050003;-;-;-;-;-;-;-;-;-
1531156008604;-;-;-0.34009278;0.6658155;9.848321;0.070321634;-0.06723117;-0.023576023;14.55;57.15;-43.050003;-;-;-;-;-;-;-;-;-
1531156008614;-;-;-0.34488282;0.6322852;9.843531;0.06446268;-0.057643794;-0.031032873;14.55;57.15;-43.050003;-;-;-;-;-;-;-;-;-
1531156008625;-;-;-0.34488282;0.64186525;9.829161;0.0564732;-0.029414287;-0.03050024;15.150001;56.250004;-43.65;-;-;-;-;-;-;-;-;-
1531156008635;-;-;-0.47900394;0.6610254;9.6615095;0.026645796;-0.0038479385;-0.017717067;15.150001;56.250004;-43.65;-;-;-;-;-;-;-;-;-
1531156008645;-;-;-0.49337405;0.6514453;9.546548;-0.015432149;-0.010772157;0.007849279;14.250001;60.15;-43.050003;-;-;-;-;-;-;-;-;-
1531156008656;-;-;-0.37362307;0.6706055;9.64714;-0.050585877;-0.012370055;0.018501922;14.250001;60.15;-43.050003;-;-;-;-;-;-;-;-;-
1531156008666;-;-;-0.39278322;0.6945557;9.690249;-0.057510097;-0.024620596;0.017969292;13.950001;59.550003;-43.5;-;-;-;-;-;-;-;-;-
1531156008676;-;-;-0.37362307;0.613125;10.102193;-0.0740217;-0.09759121;0.027024038;13.950001;59.550003;-43.5;-;-;-;-;-;-;-;-;-
1531156008687;-;-;-0.39278322;0.60833496;10.566827;-0.03673744;-0.15990917;0.038741946;14.1;60.000004;-42.9;-;-;-;-;-;-;-;-;-
1531156008696;-;-;-0.3065625;0.6322852;10.844649;0.07511532;-0.21583557;0.05099249;14.1;60.000004;-42.9;-;-;-;-;-;-;-;-;-
1531156008706;-;-;-0.22992188;0.74724615;10.734478;0.1672607;-0.22275978;0.034480892;13.500001;58.500004;-43.5;-;-;-;-;-;-;-;-;-
1531156008716;-;-;-0.13891114;0.75203615;10.336905;0.24395974;-0.20518292;0.015838763;13.500001;58.500004;-43.5;-;-;-;-;-;-;-;-;-
1531156008730;-;-;-0.244292;0.7041358;9.546548;0.2104039;-0.122624926;0.004653485;13.950001;57.15;-43.5;-;-;-;-;-;-;-;-;-
1531156008740;-;-;-0.20597169;0.7185059;9.508228;0.1672607;-0.09279752;0.011045072;13.950001;57.15;-43.5;-;-;-;-;-;-;-;-;-
1531156008751;-;-;-0.17723145;0.7759864;9.388477;0.07884376;-0.025153229;0.025426142;12.3;56.850002;-43.350002;-;-;-;-;-;-;-;-;-
1531156008761;-;-;-0.2203418;0.82388675;9.465117;0.028776325;0.010533132;-0.002270734;12.3;56.850002;-43.350002;-;-;-;-;-;-;-;-;-
1531156008771;-;-;-0.3305127;0.7759864;9.508228;-0.012768989;0.035566848;-6.7283714E-4;14.400001;57.9;-42.9;-;-;-;-;-;-;-;-;-
1531156008782;-;-;-0.36883304;0.8430469;9.575289;-0.050585877;0.020653144;0.013708234;14.55;57.45;-43.5;-;-;-;-;-;-;-;-;-
1531156008792;-;-;-0.3305127;0.87178713;9.64714;-0.08520697;-0.040066928;0.035546154;14.55;57.45;-43.5;-;-;-;-;-;-;-;-;-
1531156008802;-;-;-0.2682422;0.81909674;9.85311;-0.083609074;-0.0693617;0.024360878;13.650001;57.300003;-44.100002;-;-;-;-;-;-;-;-;-
