TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531156155219;-;-;-1.0298585;0.30177248;10.097403;-0.0046771606;0.16556981;0.012067081;-3.9;25.2;-39.0;-;-;-;-;-;-;-;-;-
1531156155239;-;-;-0.8382569;0.37362307;9.929751;-0.014264541;0.040933874;0.123919845;-5.4;25.35;-40.5;-;-;-;-;-;-;-;-;-
1531156155238;-;-;-0.8382569;0.37362307;9.929751;-0.014264541;0.040933874;0.123919845;-5.4;25.35;-40.5;-;-;-;-;-;-;-;-;-
1531156155244;-;-;-0.78556645;0.46942386;9.977652;-0.024384553;0.0153675275;0.12711564;-4.9500003;25.500002;-39.0;-;-;-;-;-;-;-;-;-
1531156155254;-;-;-0.46463382;0.6514453;9.881851;-0.04782037;-0.07890838;0.1297788;-4.9500003;25.500002;-39.0;-;-;-;-;-;-;-;-;-
1531156155264;-;-;-0.28261232;0.6514453;9.7621;-0.07232145;-0.10713788;0.10154929;-4.05;25.95;-40.050003;-;-;-;-;-;-;-;-;-
1531156155274;-;-;0.038320314;0.6993457;9.73815;-0.130911;-0.028308315;0.048818707;-4.05;25.95;-40.050003;-;-;-;-;-;-;-;-;-
1531156155285;-;-;0.028740235;0.57001466;9.968072;-0.16127104;0.028683335;0.022719726;-4.65;25.800001;-39.45;-;-;-;-;-;-;-;-;-
1531156155294;-;-;-0.043110352;0.5748047;10.025552;-0.19802266;0.08514235;-1.8345937E-4;-4.65;25.800001;-39.45;-;-;-;-;-;-;-;-;-
1531156155304;-;-;-0.17723145;0.5604346;10.135723;-0.20441425;0.12935083;-0.023619277;-5.8500004;25.35;-40.050003;-;-;-;-;-;-;-;-;-
1531156155314;-;-;-0.28261232;0.45984375;10.605147;-0.15115103;0.15012348;-0.03586982;-5.8500004;25.35;-40.050003;-;-;-;-;-;-;-;-;-
1531156155324;-;-;-0.3305127;0.45984375;10.566827;-0.092561476;0.12722029;-0.03853298;-5.4;26.400002;-38.100002;-;-;-;-;-;-;-;-;-
1531156155335;-;-;-0.60354495;0.48379397;10.341695;0.023019716;0.08674025;-0.02681507;-5.4;26.400002;-38.100002;-;-;-;-;-;-;-;-;-
1531156155345;-;-;-0.6179151;0.49337405;10.140513;0.058706075;0.033477023;-0.0012487238;-4.9500003;25.2;-39.9;-;-;-;-;-;-;-;-;-
1531156155355;-;-;-0.5939649;0.4981641;9.699829;0.075750306;-0.05493993;0.017393405;-4.9500003;25.2;-39.9;-;-;-;-;-;-;-;-;-
1531156155365;-;-;-0.5748047;0.5125342;9.613608;0.06882609;-0.10394209;0.025382888;-5.1000004;25.650002;-40.050003;-;-;-;-;-;-;-;-;-
1531156155375;-;-;-0.52690434;0.43589357;9.632769;0.029943934;-0.15827058;0.042959753;-5.1000004;25.650002;-40.050003;-;-;-;-;-;-;-;-;-
1531156155386;-;-;-0.488584;0.4263135;9.7621;0.012367071;-0.1604011;0.053612396;-4.65;26.85;-39.45;-;-;-;-;-;-;-;-;-
1531156155396;-;-;-0.28740236;0.45505372;9.81958;0.0070407484;-0.1353674;0.053079765;-4.65;26.85;-39.45;-;-;-;-;-;-;-;-;-
1531156155406;-;-;-0.028740235;0.46942386;9.905801;0.0033123228;-0.11779053;0.036568165;-3.9;25.2;-40.2;-;-;-;-;-;-;-;-;-
1531156155416;-;-;0.028740235;0.5987549;9.8866415;-0.0046771606;-0.0528094;-0.008172942;-3.9;25.2;-40.2;-;-;-;-;-;-;-;-;-
1531156155426;-;-;0.033530276;0.62749517;9.6615095;-0.019590862;-0.044287283;-0.020956116;-5.1000004;25.650002;-40.95;-;-;-;-;-;-;-;-;-
1531156155436;-;-;0.1820215;0.6849756;9.369317;-0.08830042;-0.10181156;-0.09552463;-5.1000004;25.650002;-40.95;-;-;-;-;-;-;-;-;-
1531156155446;-;-;0.047900394;0.75203615;9.359736;-0.13730258;-0.1785106;-0.14878786;-5.8500004;27.000002;-39.300003;-;-;-;-;-;-;-;-;-
1531156155457;-;-;-0.1580713;0.64186525;9.546548;-0.17298895;-0.23230647;-0.18340895;-5.8500004;27.000002;-39.300003;-;-;-;-;-;-;-;-;-
1531156155467;-;-;-0.086220704;0.5891748;9.944121;-0.16872787;-0.25094858;-0.20524687;-4.8;25.95;-39.300003;-;-;-;-;-;-;-;-;-
