TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531156231050;-;-;-0.47900394;0.7807764;9.479487;0.13206968;-0.08099518;0.10436909;13.650001;57.9;-40.050003;-;-;-;-;-;-;-;-;-
1531156231051;-;-;-0.50774413;0.71371585;9.431587;0.11715597;-0.07194044;0.10330382;13.650001;57.9;-40.050003;-;-;-;-;-;-;-;-;-
1531156231055;-;-;-0.50774413;0.75203615;9.417217;0.09212225;-0.074603595;0.10436909;13.650001;57.9;-40.050003;-;-;-;-;-;-;-;-;-
1531156231067;-;-;-0.6658155;0.7951465;9.292676;-0.018665252;-0.04584145;0.1278049;14.85;57.45;-43.050003;-;-;-;-;-;-;-;-;-
1531156231073;-;-;-0.6658155;0.9148975;9.393267;-0.07618953;-0.039449867;0.1427186;14.85;57.45;-43.050003;-;-;-;-;-;-;-;-;-
1531156231083;-;-;-0.62749517;0.91010743;9.536968;-0.124126434;-0.034123544;0.15550177;14.85;56.7;-43.050003;-;-;-;-;-;-;-;-;-
1531156231093;-;-;-0.38320315;0.93405765;9.7621;-0.19283599;-0.018677209;0.1395228;14.85;56.7;-43.050003;-;-;-;-;-;-;-;-;-
1531156231103;-;-;-0.26345217;0.98195803;9.800421;-0.1965644;0.012748092;0.1310007;14.400001;57.600002;-42.15;-;-;-;-;-;-;-;-;-
1531156231113;-;-;-0.12933107;0.89573735;9.924961;-0.21254338;0.039912336;0.10969541;14.400001;57.600002;-42.15;-;-;-;-;-;-;-;-;-
1531156231123;-;-;-0.43589357;1.0106983;10.207574;-0.20508653;0.0068891384;0.094781704;13.500001;57.45;-43.5;-;-;-;-;-;-;-;-;-
1531156231134;-;-;-0.42152345;0.89573735;10.365645;-0.16354121;-0.066614114;0.08093327;13.500001;57.45;-43.5;-;-;-;-;-;-;-;-;-
1531156231144;-;-;-0.27303225;0.8813672;10.437495;-0.12892012;-0.12999734;0.06548694;13.05;58.65;-45.0;-;-;-;-;-;-;-;-;-
1531156231154;-;-;-0.014370117;0.8430469;10.150093;-0.07885269;-0.21947956;0.008495286;13.05;58.65;-45.0;-;-;-;-;-;-;-;-;-
1531156231164;-;-;-0.06706055;0.847837;9.78605;-0.09323098;-0.24611956;-0.020277008;13.500001;57.45;-41.550003;-;-;-;-;-;-;-;-;-
