TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531156305303;-;-;-0.3544629;0.488584;9.326206;0.07560935;0.2864944;-0.077090085;-7.05;26.250002;-39.45;-;-;-;-;-;-;-;-;-
1531156305302;-;-;-0.4167334;0.46942386;9.254355;0.0846641;0.2614607;-0.07655745;-7.05;26.250002;-39.45;-;-;-;-;-;-;-;-;-
1531156305319;-;-;-0.49337405;0.613125;9.800421;0.069217764;0.35200816;-0.041403722;-7.5000005;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156305319;-;-;-0.49337405;0.613125;9.800421;0.069217764;0.35200816;-0.041403722;-7.5000005;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156305326;-;-;-0.6706055;0.71371585;10.188414;0.07667461;0.33017024;-0.013706846;-7.5000005;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156305336;-;-;-0.8095166;0.6610254;10.202784;0.089988925;0.20498213;0.01610541;-7.5000005;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156305346;-;-;-0.6227051;0.6514453;10.020762;0.05057413;0.09312937;0.031551745;-8.700001;27.6;-41.100002;-;-;-;-;-;-;-;-;-
1531156305356;-;-;-0.60833496;0.6993457;10.106983;-0.015472262;0.022821914;0.01663804;-8.700001;27.6;-41.100002;-;-;-;-;-;-;-;-;-
1531156305367;-;-;-0.5843848;0.5508545;10.159674;-0.06553969;-0.048550803;0.008115925;-7.8;27.45;-40.050003;-;-;-;-;-;-;-;-;-
1531156305376;-;-;-0.52690434;0.5029541;10.197993;-0.07672497;-0.092226654;-0.012124099;-7.8;27.45;-40.050003;-;-;-;-;-;-;-;-;-
1531156305387;-;-;-0.5412744;0.45505372;10.265054;-0.060213372;-0.09382455;-0.004667248;-7.2000003;26.400002;-40.95;-;-;-;-;-;-;-;-;-
1531156305397;-;-;-0.4742139;0.2682422;10.236314;-0.017070161;-0.10181403;-0.0051998803;-7.2000003;26.400002;-40.95;-;-;-;-;-;-;-;-;-
1531156305407;-;-;-0.40715334;0.3161426;9.968072;0.0058330256;-0.10341193;-0.02171148;-7.2000003;28.050001;-39.300003;-;-;-;-;-;-;-;-;-
1531156305417;-;-;-0.39757326;0.5556446;9.72857;0.0074309222;-0.05281186;-0.029700963;-7.2000003;28.050001;-39.300003;-;-;-;-;-;-;-;-;-
1531156305428;-;-;-0.4981641;0.6227051;9.637559;-0.013874366;-0.018190768;-0.015852526;-6.6000004;27.150002;-41.850002;-;-;-;-;-;-;-;-;-
1531156305438;-;-;-0.613125;0.63707525;9.766891;-0.029320702;0.0047124177;-0.02224411;-6.6000004;27.150002;-41.850002;-;-;-;-;-;-;-;-;-
1531156305448;-;-;-0.75203615;0.6322852;10.212363;-0.031983864;0.043594573;0.0107790865;-5.8500004;27.45;-40.050003;-;-;-;-;-;-;-;-;-
1531156305458;-;-;-0.86220706;0.6227051;10.212363;-5.5856106E-4;0.026017707;0.03314964;-7.2000003;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156305469;-;-;-0.6322852;0.5843848;10.183623;0.044715177;0.022289282;0.06244441;-7.2000003;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156305479;-;-;-0.5508545;0.57001466;10.121353;0.05749835;0.040398777;0.07309706;-7.05;25.800001;-40.2;-;-;-;-;-;-;-;-;-
1531156305489;-;-;-0.4263135;0.5939649;10.116563;0.09424998;0.05531248;0.06350968;-7.05;25.800001;-40.2;-;-;-;-;-;-;-;-;-
1531156305499;-;-;-0.4023633;0.4167334;9.972861;0.10650052;0.025485076;0.050726503;-6.3;26.250002;-39.0;-;-;-;-;-;-;-;-;-
1531156305510;-;-;-0.35925296;0.45026368;9.862691;0.08040154;-0.0048749624;0.015572777;-6.3;26.250002;-39.0;-;-;-;-;-;-;-;-;-
1531156305520;-;-;-0.4023633;0.44547364;9.829161;0.060161512;-0.02138656;-9.388225E-4;-6.4500003;26.7;-39.600002;-;-;-;-;-;-;-;-;-
1531156305530;-;-;-0.45026368;0.56522465;9.81;0.02127936;-0.048550803;-0.024374641;-6.4500003;26.7;-39.600002;-;-;-;-;-;-;-;-;-
1531156305540;-;-;-0.5508545;0.57001466;9.814791;0.019681463;-0.038963426;-0.02224411;-4.65;26.250002;-40.2;-;-;-;-;-;-;-;-;-
1531156305551;-;-;-0.6322852;0.62749517;9.81958;0.008496187;-0.024049722;-0.011591467;-4.65;26.250002;-40.2;-;-;-;-;-;-;-;-;-
1531156305561;-;-;-0.613125;0.56522465;9.924961;0.018083567;0.012169269;-4.061903E-4;-6.6000004;25.2;-39.45;-;-;-;-;-;-;-;-;-
1531156305571;-;-;-0.5987549;0.64186525;10.063872;0.060694143;0.049986158;0.014507512;-6.6000004;25.2;-39.45;-;-;-;-;-;-;-;-;-
1531156305582;-;-;-0.5748047;0.5604346;10.097403;0.09904367;0.044127204;0.023029627;-5.4;26.7;-40.5;-;-;-;-;-;-;-;-;-
1531156305591;-;-;-0.488584;0.4981641;9.982442;0.13419738;0.05318195;0.021964364;-5.4;26.7;-40.5;-;-;-;-;-;-;-;-;-
1531156305601;-;-;-0.35925296;0.45984375;9.75731;0.14325213;0.07075881;0.0107790865;-7.3500004;26.250002;-40.2;-;-;-;-;-;-;-;-;-
1531156305611;-;-;-0.29698244;0.48379397;9.589659;0.12407739;0.08460725;-0.014254628;-7.3500004;26.250002;-40.2;-;-;-;-;-;-;-;-;-
1531156305622;-;-;-0.3544629;0.51732427;9.72378;0.1160879;0.089933574;-0.022776743;-6.3;25.2;-40.2;-;-;-;-;-;-;-;-;-
