TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531156396093;-;-;0.06227051;0.019160157;9.891431;0.11661546;0.106942;-0.03451889;15.150001;58.65;-40.95;-;-;-;-;-;-;-;-;-
1531156396094;-;-;0.06227051;0.019160157;9.891431;0.11661546;0.106942;-0.03451889;15.150001;58.65;-40.95;-;-;-;-;-;-;-;-;-
1531156396111;-;-;0.05269043;0.038320314;9.939331;0.08891858;0.078712486;-0.08032526;14.400001;60.750004;-42.15;-;-;-;-;-;-;-;-;-
1531156396111;-;-;0.05269043;0.038320314;9.939331;0.08891858;0.078712486;-0.08032526;14.400001;60.750004;-42.15;-;-;-;-;-;-;-;-;-
1531156396120;-;-;-0.0047900393;0.05269043;9.924961;0.08891858;0.07498406;-0.085651584;14.55;57.750004;-41.550003;-;-;-;-;-;-;-;-;-
1531156396131;-;-;-0.1101709;0.22992188;9.81958;0.06175434;0.056874562;-0.100565284;14.55;57.750004;-41.550003;-;-;-;-;-;-;-;-;-
1531156396141;-;-;-0.2778223;0.39278322;9.843531;0.05429749;0.06326615;-0.1090874;13.500001;59.550003;-44.7;-;-;-;-;-;-;-;-;-
1531156396151;-;-;-0.39757326;0.38320315;9.79084;0.03618799;0.09682198;-0.09151054;13.500001;59.550003;-44.7;-;-;-;-;-;-;-;-;-
1531156396161;-;-;-0.40715334;0.41194338;9.7621;0.027133245;0.10640936;-0.086716846;14.55;58.050003;-41.850002;-;-;-;-;-;-;-;-;-
1531156396171;-;-;-0.57959473;0.41194338;10.346485;0.026600612;0.08829987;-0.07073788;14.55;58.050003;-41.850002;-;-;-;-;-;-;-;-;-
