TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531156453748;-;-;-0.8286768;0.21555176;10.015972;0.04309304;-0.077321894;0.12585695;-5.25;26.250002;-40.2;-;-;-;-;-;-;-;-;-
1531156453749;-;-;-0.8286768;0.21555176;10.015972;0.04309304;-0.077321894;0.12585695;-5.25;26.250002;-40.2;-;-;-;-;-;-;-;-;-
1531156453765;-;-;-0.6227051;0.20118165;10.193204;0.017526694;-0.11833458;0.16420648;-6.6000004;26.85;-41.100002;-;-;-;-;-;-;-;-;-
1531156453766;-;-;-0.49337405;0.28740236;10.154883;0.017526694;-0.11833458;0.16420648;-6.6000004;26.85;-41.100002;-;-;-;-;-;-;-;-;-
1531156453777;-;-;-0.25866213;0.3544629;10.044712;0.012200371;-0.08744191;0.16367385;-6.6000004;26.85;-41.100002;-;-;-;-;-;-;-;-;-
1531156453787;-;-;-0.17723145;0.35925296;9.948912;0.0026129913;-0.04003764;0.12798749;-6.4500003;27.45;-40.5;-;-;-;-;-;-;-;-;-
1531156453797;-;-;-0.13891114;0.364043;9.982442;-0.018159665;-6.228561E-4;0.091235854;-6.4500003;27.45;-40.5;-;-;-;-;-;-;-;-;-
1531156453807;-;-;-0.16286133;0.45026368;10.130933;-0.025083885;0.004170834;0.07419162;-5.8500004;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156453817;-;-;-0.047900394;0.4742139;10.183623;-5.0169852E-5;0.03879193;0.04809265;-5.8500004;26.400002;-39.600002;-;-;-;-;-;-;-;-;-
1531156453828;-;-;-0.100590825;0.50774413;10.178833;0.0052761524;0.059031952;0.021993669;-7.3500004;27.6;-40.2;-;-;-;-;-;-;-;-;-
1531156453838;-;-;-0.25866213;0.3784131;10.480606;0.029244602;0.03879193;1.5574694E-4;-7.3500004;27.6;-40.2;-;-;-;-;-;-;-;-;-
1531156453848;-;-;-0.2778223;0.33530274;10.5764065;0.0638657;0.043052986;0.018265242;-5.4;27.750002;-40.95;-;-;-;-;-;-;-;-;-
1531156453858;-;-;-0.32572266;0.35925296;10.274634;0.14908686;0.053705633;-0.0025074142;-5.4;27.750002;-40.95;-;-;-;-;-;-;-;-;-
1531156453869;-;-;-0.42152345;0.4167334;9.75252;0.14695634;0.059031952;-0.004105311;-6.7500005;28.800001;-40.050003;-;-;-;-;-;-;-;-;-
1531156453879;-;-;-0.4023633;0.38320315;9.388477;0.06972465;0.08885936;0.025722094;-6.7500005;28.800001;-40.050003;-;-;-;-;-;-;-;-;-
