TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531156538412;-;-;-0.5939649;0.26345217;9.7812605;-0.06661323;0.15115494;-0.04036892;14.250001;60.9;-43.050003;-;-;-;-;-;-;-;-;-
1531156538430;-;-;-1.0825489;0.15328126;10.289004;-0.08791851;-0.11143274;0.017687993;14.250001;60.15;-41.550003;-;-;-;-;-;-;-;-;-
1531156538431;-;-;-1.1160791;0.086220704;10.284214;-0.07353745;-0.13007487;0.032601696;14.250001;60.15;-41.550003;-;-;-;-;-;-;-;-;-
1531156538441;-;-;-0.977168;0.100590825;10.346485;-0.035720557;-0.19079494;0.0789407;14.250001;60.15;-41.550003;-;-;-;-;-;-;-;-;-
1531156538452;-;-;-0.7089258;0.19639161;10.2315235;0.02499952;-0.23020974;0.12581232;14.250001;59.850002;-41.550003;-;-;-;-;-;-;-;-;-
1531156538462;-;-;-0.49337405;0.3305127;10.255474;0.055892188;-0.20251286;0.13806286;14.250001;59.850002;-41.550003;-;-;-;-;-;-;-;-;-
1531156538472;-;-;-0.21555176;0.42152345;10.130933;0.086784855;-0.17055492;0.13539971;13.950001;60.15;-41.550003;-;-;-;-;-;-;-;-;-
1531156538482;-;-;-0.09580079;0.40715334;10.073453;0.08465433;-0.1652286;0.12155128;13.950001;60.15;-41.550003;-;-;-;-;-;-;-;-;-
1531156538493;-;-;0.05269043;0.43110353;10.169253;0.07932801;-0.15723912;0.08533229;15.150001;59.4;-43.65;-;-;-;-;-;-;-;-;-
1531156538503;-;-;0.07185059;0.41194338;10.217154;0.09264381;-0.14072752;0.0789407;14.1;59.4;-40.5;-;-;-;-;-;-;-;-;-
1531156538513;-;-;-0.119750984;0.33530274;10.317744;0.13046071;-0.14339069;0.058168042;14.1;59.4;-40.5;-;-;-;-;-;-;-;-;-
1531156538523;-;-;-0.24908204;0.27303225;10.178833;0.15070073;-0.15297806;0.051776458;13.35;58.95;-41.7;-;-;-;-;-;-;-;-;-
1531156538534;-;-;-0.21555176;0.4023633;9.800421;0.18052813;-0.14232542;0.0773428;13.35;58.95;-41.7;-;-;-;-;-;-;-;-;-
1531156538544;-;-;-0.15328126;0.4023633;9.570498;0.1634839;-0.11622643;0.05497225;14.250001;61.2;-41.550003;-;-;-;-;-;-;-;-;-
1531156538554;-;-;-0.047900394;0.488584;9.484278;0.076132216;-0.09012745;0.03313433;14.250001;61.2;-41.550003;-;-;-;-;-;-;-;-;-
1531156538564;-;-;-0.014370117;0.4406836;9.671089;0.04417428;-0.06882216;0.01928589;14.400001;58.65;-42.9;-;-;-;-;-;-;-;-;-
1531156538575;-;-;-0.081430666;0.43589357;9.83874;0.038847957;-0.0054389313;0.01715536;14.400001;58.65;-42.9;-;-;-;-;-;-;-;-;-
1531156538585;-;-;-0.023950197;0.34488282;9.891431;0.035652164;0.012137933;0.018753257;13.950001;59.550003;-42.75;-;-;-;-;-;-;-;-;-
1531156538596;-;-;-0.023950197;0.4263135;9.972861;0.05908798;0.04995482;1.111296E-4;13.950001;59.550003;-42.75;-;-;-;-;-;-;-;-;-
1531156538605;-;-;-0.07185059;0.52690434;10.039923;0.06547957;0.037704278;-0.0046825605;13.650001;59.7;-44.100002;-;-;-;-;-;-;-;-;-
