TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531162687469;-;-;-0.2921924;0.6849756;10.073453;0.04870855;0.011674879;-0.0024891254;12.3;60.000004;-42.9;348.7367;-3.8560386;-2.129969;-;-;-;-;-;-
1531162687469;-;-;-0.28261232;0.68976563;10.059082;0.04870855;0.011674879;-0.0024891254;12.3;60.000004;-42.9;348.7367;-3.8560386;-2.129969;-;-;-;-;-;-
1531162687488;-;-;-0.44547364;0.6322852;9.905801;0.026870629;0.030317007;-0.0051522865;14.400001;58.350002;-43.350002;348.74643;-3.903861;-2.1389725;-;-;-;-;-;-
1531162687488;-;-;-0.44547364;0.6322852;9.905801;0.026870629;0.030317007;-0.0051522865;14.400001;58.350002;-43.350002;348.74643;-3.903861;-2.1389725;-;-;-;-;-;-
1531162687496;-;-;-0.50774413;0.6227051;9.915381;-0.0034894082;0.010076983;0.010294048;14.400001;58.350002;-43.350002;348.74643;-3.903861;-2.1389725;-;-;-;-;-;-
1531162687506;-;-;-0.57001466;0.613125;9.910591;-0.002956776;0.00475066;0.018283531;14.400001;58.350002;-43.350002;348.74643;-3.903861;-2.1389725;-;-;-;-;-;-
1531162687516;-;-;-0.51732427;0.7807764;9.81958;-0.020001007;0.0068811886;0.02307722;13.200001;58.500004;-41.850002;348.7544;-3.9436674;-2.1687732;-;-;-;-;-;-
1531162687526;-;-;-0.44547364;0.6562354;9.72857;-0.032784183;-0.0032388233;0.028936177;13.200001;58.500004;-41.850002;348.7544;-3.9436674;-2.1687732;-;-;-;-;-;-
1531162687536;-;-;-0.34009278;0.6514453;9.594449;-0.05142631;-0.010163043;0.021479324;12.6;59.4;-42.15;348.74228;-3.9418726;-2.1834831;-;-;-;-;-;-
1531162687546;-;-;-0.364043;0.62749517;9.64714;-0.06367685;0.002087499;0.027338278;12.6;59.4;-42.15;348.74228;-3.9418726;-2.1834831;-;-;-;-;-;-
1531162687557;-;-;-0.4023633;0.5987549;9.848321;-0.07752529;0.00954435;0.021479324;13.500001;57.45;-42.300003;348.71368;-3.9194143;-2.1838996;-;-;-;-;-;-
