TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531162768212;-;-;-0.35925296;0.5939649;9.877061;0.012254377;0.009719345;0.052671123;-6.7500005;25.95;-37.65;14.819185;-2.0055716;-1.619158;-;-;-;-;-;-
1531162768213;-;-;-0.35925296;0.5939649;9.877061;0.012254377;0.009719345;0.052671123;-6.7500005;25.95;-37.65;14.819185;-2.0055716;-1.619158;-;-;-;-;-;-
1531162768230;-;-;-0.2778223;0.3879932;10.030342;0.0090585835;0.048601497;0.051605858;-4.65;26.250002;-39.45;14.819185;-2.0055716;-1.619158;-;-;-;-;-;-
1531162768231;-;-;-0.24908204;0.45984375;10.025552;3.835361E-6;0.057123613;0.057997447;-4.65;26.250002;-39.45;14.784878;-2.0249636;-1.6270887;-;-;-;-;-;-
1531162768236;-;-;-0.32093263;0.4742139;9.905801;0.0058627897;0.048601497;0.052671123;-4.65;26.250002;-39.45;14.784878;-2.0249636;-1.6270887;-;-;-;-;-;-
1531162768246;-;-;-0.34967285;0.4263135;9.78605;-0.009583544;0.015045666;0.052138492;-4.65;26.250002;-39.45;14.784878;-2.0249636;-1.6270887;-;-;-;-;-;-
1531162768257;-;-;-0.2921924;0.46463382;9.881851;-0.009050912;-0.04620704;0.063323766;-7.3500004;26.250002;-40.65;14.718019;-2.0378923;-1.6691965;-;-;-;-;-;-
1531162768267;-;-;-0.23950197;0.4263135;10.035132;0.0074606864;-0.058990214;0.048942696;-7.3500004;26.250002;-40.65;14.718019;-2.0378923;-1.6691965;-;-;-;-;-;-
1531162768277;-;-;-0.119750984;0.32572266;9.920172;0.04154915;-0.089350246;0.04681217;-7.2000003;24.300001;-40.050003;14.652947;-2.0344265;-1.70819;-;-;-;-;-;-
1531162768287;-;-;0.6227051;0.1820215;10.025552;0.047408104;-0.10479658;0.00633212;-7.2000003;24.300001;-40.050003;14.652947;-2.0344265;-1.70819;-;-;-;-;-;-
1531162768297;-;-;-0.24908204;0.6466553;9.685459;0.047940735;-0.029162807;-0.028821606;-4.2000003;24.45;-40.2;14.591373;-2.0381188;-1.650903;-;-;-;-;-;-
1531162768307;-;-;-0.49337405;0.8095166;9.766891;0.025570182;-0.02543438;-0.01284264;-4.2000003;24.45;-40.2;14.591373;-2.0381188;-1.650903;-;-;-;-;-;-
1531162768318;-;-;-0.05269043;0.34967285;10.020762;-0.003722142;0.01877163;0.037216276;-4.9500003;26.250002;-40.2;14.56531;-2.0880394;-1.5428039;-;-;-;-;-;-
1531162768328;-;-;0.1820215;0.4263135;10.178833;-0.009048464;-0.005196821;0.037748907;-4.9500003;26.250002;-40.2;14.56531;-2.0880394;-1.5428039;-;-;-;-;-;-
1531162768338;-;-;-0.1580713;0.4742139;10.174044;0.014387354;0.004923192;0.044673126;-4.3500004;25.95;-36.75;14.589503;-2.1302276;-1.5078133;-;-;-;-;-;-
1531162768348;-;-;0.023950197;0.4742139;10.202784;0.029301055;0.009184249;0.038814172;-4.3500004;25.95;-36.75;14.589503;-2.1302276;-1.5078133;-;-;-;-;-;-
1531162768359;-;-;0.14849122;0.5364844;10.015972;0.038888436;0.036348492;0.026563631;-5.4;25.050001;-38.4;14.553676;-2.1277657;-1.5048803;-;-;-;-;-;-
1531162768368;-;-;0.22513184;0.5556446;9.963282;0.04208423;0.027293745;0.01431309;-5.4;25.050001;-38.4;14.553676;-2.1277657;-1.5048803;-;-;-;-;-;-
1531162768378;-;-;0.081430666;0.5029541;9.862691;0.043682124;-0.0046641883;-0.014449052;-6.6000004;25.2;-40.2;14.510137;-2.1573143;-1.5097908;-;-;-;-;-;-
