TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531162832292;-;-;-0.62749517;0.8765772;9.627979;-0.15713373;-0.056029625;-0.04255264;-5.1000004;21.6;-38.100002;15.772284;-4.173576;-0.9487118;-;-;-;-;-;-
1531162832310;-;-;-0.50774413;0.9915381;9.704619;-0.2556707;-0.12793498;-0.05000949;15.150001;56.550003;-44.100002;345.4596;-6.565048;-4.089343;-;-;-;-;-;-
1531162832309;-;-;-0.50774413;0.9915381;9.704619;-0.2556707;-0.12793498;-0.05000949;15.150001;56.550003;-44.100002;345.4596;-6.565048;-4.089343;-;-;-;-;-;-
1531162832320;-;-;-0.30177248;0.96758795;9.987232;-0.2759107;-0.13539183;-0.10007692;15.6;58.050003;-42.300003;345.5064;-6.3948703;-4.029565;-;-;-;-;-;-
1531162832330;-;-;-0.488584;0.8669971;10.245894;-0.2721823;-0.16202344;-0.160797;15.6;58.050003;-42.300003;345.5064;-6.3948703;-4.029565;-;-;-;-;-;-
1531162832340;-;-;-0.6514453;0.852627;10.504556;-0.22903907;-0.20676455;-0.17677596;13.650001;56.550003;-43.65;345.5768;-6.1118793;-3.898436;-;-;-;-;-;-
1531162832350;-;-;-0.7568262;0.75203615;10.509346;-0.16352531;-0.23712458;-0.17091702;13.650001;56.550003;-43.65;345.5768;-6.1118793;-3.898436;-;-;-;-;-;-
1531162832361;-;-;-0.85741705;0.6945557;10.255474;-0.08469574;-0.27494144;-0.10913167;14.400001;58.350002;-42.45;345.75262;-5.791584;-3.7376;-;-;-;-;-;-
1531162832370;-;-;-0.86220706;0.76161623;10.020762;-0.0591294;-0.29731202;-0.075575836;14.400001;58.350002;-42.45;345.75262;-5.791584;-3.7376;-;-;-;-;-;-
1531162832380;-;-;-0.89573735;0.8334668;9.666299;-0.066053614;-0.34578153;-0.02817157;15.150001;58.350002;-43.350002;345.96866;-5.575483;-3.4936182;-;-;-;-;-;-
1531162832390;-;-;-0.8095166;0.86220706;9.699829;-0.104935765;-0.37560895;0.013373743;15.150001;58.350002;-43.350002;345.96866;-5.575483;-3.4936182;-;-;-;-;-;-
1531162832400;-;-;-0.52690434;0.81909674;9.79084;-0.13582844;-0.38839212;0.05278853;14.55;58.500004;-42.300003;346.102;-5.4859953;-3.170783;-;-;-;-;-;-
1531162832411;-;-;-0.4167334;0.76161623;10.164463;-0.13636106;-0.37188053;0.075691715;14.55;58.500004;-42.300003;346.102;-5.4859953;-3.170783;-;-;-;-;-;-
1531162832420;-;-;-0.1101709;0.7807764;10.490186;-0.1054684;-0.33459628;0.0820833;14.85;58.050003;-41.850002;346.14288;-5.3770843;-2.7528734;-;-;-;-;-;-
1531162832430;-;-;0.019160157;0.86220706;10.720108;-0.046878856;-0.26215827;0.06290854;14.85;58.050003;-41.850002;346.14288;-5.3770843;-2.7528734;-;-;-;-;-;-
1531162832441;-;-;-0.07664063;0.8382569;10.696157;0.035146505;-0.17054555;0.014439008;13.200001;58.800003;-43.050003;346.1087;-5.2265325;-2.32145;-;-;-;-;-;-
1531162832451;-;-;-0.16286133;0.7568262;10.571617;0.07882235;-0.1167497;0.008047421;13.200001;58.800003;-43.050003;346.1087;-5.2265325;-2.32145;-;-;-;-;-;-
1531162832461;-;-;-0.53169435;0.8047266;10.135723;0.116640806;-0.057098396;0.017624864;15.450001;57.9;-42.15;346.067;-5.1574306;-1.9971102;-;-;-;-;-;-
1531162832471;-;-;-0.5412744;0.8047266;9.953702;0.11397764;-0.029401522;0.0330712;15.450001;57.9;-42.15;346.067;-5.1574306;-1.9971102;-;-;-;-;-;-
1531162832481;-;-;-0.47900394;0.79993653;10.015972;0.091607094;-0.011292025;0.055974387;15.3;58.500004;-43.95;346.0663;-5.233657;-1.841519;-;-;-;-;-;-
1531162832492;-;-;-0.45984375;0.8430469;10.011182;0.08415024;0.0046869405;0.066627026;15.3;58.500004;-43.95;346.0663;-5.233657;-1.841519;-;-;-;-;-;-
1531162832501;-;-;-0.33530274;0.7711963;9.83874;0.066573374;0.03291645;0.074616514;14.400001;58.65;-45.0;346.03656;-5.361921;-1.7892938;-;-;-;-;-;-
1531162832511;-;-;-0.3161426;0.732876;9.79084;0.04686598;0.055819634;0.07834493;14.400001;58.65;-45.0;346.03656;-5.361921;-1.7892938;-;-;-;-;-;-
1531162832521;-;-;-0.22513184;0.8047266;9.637559;0.0069185635;0.05954806;0.082605995;13.500001;57.45;-41.550003;345.96103;-5.4641156;-1.7825993;-;-;-;-;-;-
1531162832532;-;-;-0.19639161;0.8813672;9.699829;-0.01598462;0.055287004;0.0660944;13.500001;57.45;-41.550003;345.96103;-5.4641156;-1.7825993;-;-;-;-;-;-
1531162832542;-;-;-0.23471193;0.89573735;10.092612;-0.018647783;0.015339585;0.049050167;12.450001;58.500004;-43.050003;345.86206;-5.5237265;-1.8238615;-;-;-;-;-;-
1531162832552;-;-;-0.22513184;0.9053174;10.116563;0.007983828;0.013741689;0.036266994;14.55;58.500004;-42.75;345.77536;-5.517021;-1.8770264;-;-;-;-;-;-
1531162832562;-;-;-0.24908204;0.8813672;9.987232;0.060714416;-0.030999418;0.013896439;14.55;58.500004;-42.75;345.77536;-5.517021;-1.8770264;-;-;-;-;-;-
1531162832573;-;-;-0.2203418;0.9196875;9.968072;0.075628124;-0.03419521;0.0037764271;14.700001;57.300003;-41.25;345.7317;-5.5244446;-1.8863158;-;-;-;-;-;-
1531162832582;-;-;-0.16765137;0.8669971;9.977652;0.077758655;-0.060294192;-0.0020825274;14.700001;57.300003;-41.25;345.7317;-5.5244446;-1.8863158;-;-;-;-;-;-
1531162832592;-;-;-0.19639161;0.8382569;9.915381;0.068703905;-0.046978384;-0.01912676;14.1;57.600002;-42.9;345.72412;-5.6020336;-1.8510534;-;-;-;-;-;-
1531162832602;-;-;-0.31135255;0.8286768;9.944121;0.070834436;0.008947998;-0.023920448;14.1;57.600002;-42.9;345.72412;-5.6020336;-1.8510534;-;-;-;-;-;-
