TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531162909325;-;-;-0.16286133;0.6179151;9.565708;-0.10806252;0.07008114;-0.035593208;-6.15;25.95;-39.300003;12.449116;-3.347515;-1.8806909;-;-;-;-;-;-
1531162909343;-;-;-0.48379397;0.50774413;10.207574;-0.10220357;0.1489107;-0.013222653;-6.15;25.95;-39.300003;12.449116;-3.347515;-1.8806909;-;-;-;-;-;-
1531162909342;-;-;-0.48379397;0.50774413;10.207574;-0.10220357;0.1489107;-0.013222653;-6.15;25.95;-39.300003;12.449116;-3.347515;-1.8806909;-;-;-;-;-;-
1531162909351;-;-;-0.43110353;0.5556446;10.183623;-0.07344143;0.13293174;0.009680533;-5.1000004;25.650002;-39.600002;12.466475;-3.2454362;-1.9128621;-;-;-;-;-;-
1531162909362;-;-;-0.3161426;0.5748047;10.030342;-0.06119089;0.103636965;0.01820265;-5.1000004;25.650002;-39.600002;12.466475;-3.2454362;-1.9128621;-;-;-;-;-;-
1531162909372;-;-;-0.18681154;0.57001466;10.044712;-0.06225615;0.09351695;0.0064847386;-6.3;25.800001;-39.9;12.483808;-3.1199486;-2.0612912;-;-;-;-;-;-
1531162909382;-;-;-0.2921924;0.5508545;9.953702;-0.07930038;0.07008114;-0.01961424;-6.3;25.800001;-39.9;12.483808;-3.1199486;-2.0612912;-;-;-;-;-;-
1531162909392;-;-;-0.40715334;0.45026368;9.992022;-0.08835513;0.036525305;-0.04091953;-6.3;26.250002;-39.45;12.457053;-3.0456085;-2.1993055;-;-;-;-;-;-
1531162909402;-;-;-0.5364844;0.5556446;10.054293;-0.10912779;-0.0018242147;-0.040386897;-6.3;26.250002;-39.45;12.457053;-3.0456085;-2.1993055;-;-;-;-;-;-
1531162909412;-;-;-0.5939649;0.6993457;10.087823;-0.12990044;0.01841581;-0.024407929;-4.8;25.650002;-38.850002;12.459254;-2.9658794;-2.2934065;-;-;-;-;-;-
1531162909423;-;-;-0.62749517;0.7759864;10.221944;-0.117649905;0.02587266;-0.005765802;-4.8;25.650002;-38.850002;12.459254;-2.9658794;-2.2934065;-;-;-;-;-;-
1531162909433;-;-;-0.6322852;0.6466553;10.370435;-0.08835513;-0.007683169;0.041105833;-6.0;25.2;-39.0;12.499141;-2.8562174;-2.312152;-;-;-;-;-;-
1531162909443;-;-;-0.5987549;0.5460645;10.360855;-0.046809815;-0.020466343;0.061345857;-5.55;25.2;-40.2;12.521142;-2.7114081;-2.335929;-;-;-;-;-;-
1531162909454;-;-;-0.48379397;0.5125342;10.279425;-0.010058194;-0.051891647;0.058150064;-5.55;25.2;-40.2;12.521142;-2.7114081;-2.335929;-;-;-;-;-;-
1531162909464;-;-;-0.37362307;0.5508545;10.188414;0.018703947;-0.049228486;0.050693214;-4.9500003;25.500002;-37.800003;12.472308;-2.6273117;-2.3172348;-;-;-;-;-;-
1531162909474;-;-;-0.38320315;0.6322852;10.164463;0.03361765;-0.041239;0.030453188;-4.9500003;25.500002;-37.800003;12.472308;-2.6273117;-2.3172348;-;-;-;-;-;-
1531162909484;-;-;-0.5556446;0.6945557;10.202784;0.04799872;-0.03804321;0.036312144;-5.55;25.800001;-39.0;12.472308;-2.6273117;-2.3172348;-;-;-;-;-;-
1531162909494;-;-;-0.46463382;0.4981641;10.174044;0.080489285;-0.044967428;0.050693214;-5.55;25.800001;-39.0;12.416495;-2.633525;-2.259173;-;-;-;-;-;-
1531162909505;-;-;-0.45984375;0.613125;10.202784;0.11511038;-0.040173735;0.067737445;-5.25;24.750002;-38.7;12.377312;-2.6808116;-2.2112985;-;-;-;-;-;-
1531162909514;-;-;-0.3544629;0.5604346;10.207574;0.13588303;-0.021531606;0.07839009;-5.25;24.750002;-38.7;12.377312;-2.6808116;-2.2112985;-;-;-;-;-;-
1531162909525;-;-;-0.29698244;0.5412744;10.375225;0.15132937;-0.01993371;0.08478168;-5.25;27.6;-39.0;12.311112;-2.7865934;-2.1617978;-;-;-;-;-;-
1531162909534;-;-;-0.12454102;0.5460645;10.619517;0.22429998;-2.2631802E-4;0.067737445;-5.25;27.6;-39.0;12.311112;-2.7865934;-2.1617978;-;-;-;-;-;-
1531162909545;-;-;-0.21076173;0.5221143;10.744058;0.28022635;0.010426327;0.053889006;-6.6000004;25.2;-39.45;12.218332;-2.9507704;-2.12651;-;-;-;-;-;-
1531162909554;-;-;-0.15328126;0.49337405;10.581197;0.3851549;-0.0012915825;0.037377406;-6.6000004;25.2;-39.45;12.218332;-2.9507704;-2.12651;-;-;-;-;-;-
1531162909564;-;-;-0.07185059;0.4167334;10.346485;0.40592757;-0.01247686;0.01873528;-7.05;26.550001;-39.45;12.141147;-3.2168202;-2.1233242;-;-;-;-;-;-
1531162909575;-;-;0.07664063;0.38320315;9.992022;0.41178653;-0.044434793;-0.057963762;-7.05;26.550001;-39.45;12.141147;-3.2168202;-2.1233242;-;-;-;-;-;-
1531162909585;-;-;0.11496094;0.42152345;9.72857;0.36651278;-0.060946394;-0.13253228;-6.4500003;25.35;-38.850002;12.101546;-3.6470938;-2.1147633;-;-;-;-;-;-
1531162909595;-;-;0.11496094;0.51732427;9.335787;0.2562579;-0.09450222;-0.22307976;-6.4500003;25.35;-38.850002;12.101546;-3.6470938;-2.1147633;-;-;-;-;-;-
1531162909605;-;-;0.019160157;0.6610254;9.302257;0.15931885;-0.12379699;-0.25343978;-6.6000004;26.550001;-39.0;12.187348;-4.100279;-2.069987;-;-;-;-;-;-
1531162909615;-;-;-0.33530274;0.79993653;9.364527;0.028291326;-0.16640759;-0.2518419;-6.6000004;26.550001;-39.0;12.187348;-4.100279;-2.069987;-;-;-;-;-;-
1531162909626;-;-;-0.37362307;0.9053174;9.369317;-0.044679288;-0.21274658;-0.22467765;-7.3500004;25.2;-38.25;12.444405;-4.369649;-1.9703327;-;-;-;-;-;-
1531162909636;-;-;-0.5029541;0.9244776;9.484278;-0.1512054;-0.26654315;-0.15650299;-7.3500004;25.2;-38.25;12.444405;-4.369649;-1.9703327;-;-;-;-;-;-
1531162909646;-;-;-0.4263135;0.9580079;9.565708;-0.22257812;-0.2857179;-0.11389242;-6.0;24.45;-37.800003;12.743197;-4.388165;-1.7935051;-;-;-;-;-;-
1531162909656;-;-;-0.37362307;0.89573735;9.580078;-0.2646561;-0.26015157;-0.062227096;-6.0;24.45;-37.800003;12.743197;-4.388165;-1.7935051;-;-;-;-;-;-
1531162909666;-;-;-0.2921924;0.78556645;9.637559;-0.26252556;-0.20955148;-0.043052334;-6.6000004;26.250002;-38.7;12.943206;-4.205589;-1.5070233;-;-;-;-;-;-
1531162909676;-;-;-0.1820215;0.78556645;9.872271;-0.23323077;-0.11900401;-0.017485986;-6.6000004;26.250002;-38.7;12.943206;-4.205589;-1.5070233;-;-;-;-;-;-
1531162909687;-;-;-0.18681154;0.74724615;10.001602;-0.17890228;-0.022597576;0.014471945;-6.3;26.250002;-39.0;13.0452795;-3.9138083;-1.2161659;-;-;-;-;-;-
1531162909697;-;-;-0.028740235;0.7711963;10.250684;-0.077702165;0.057829894;0.04749514;-6.3;26.250002;-39.0;13.0452795;-3.9138083;-1.2161659;-;-;-;-;-;-
1531162909707;-;-;-0.05269043;0.6706055;10.394385;0.009116891;0.0860594;0.05388673;-6.7500005;24.6;-37.65;13.069325;-3.6542957;-1.0873915;-;-;-;-;-;-
1531162909717;-;-;-0.09580079;0.51732427;10.3512745;0.08315277;0.08392887;0.0533541;-6.7500005;24.6;-37.65;13.069325;-3.6542957;-1.0873915;-;-;-;-;-;-
1531162909727;-;-;-0.14370118;0.5412744;10.092612;0.11351281;0.08020044;0.033114072;-5.55;25.500002;-37.050003;13.022809;-3.5495393;-1.1346463;-;-;-;-;-;-
1531162909738;-;-;-0.1820215;0.64186525;9.987232;0.13108967;0.07487412;0.011808786;-5.55;25.500002;-37.050003;13.022809;-3.5495393;-1.1346463;-;-;-;-;-;-
1531162909748;-;-;-0.3065625;0.82388675;9.81958;0.11084964;0.06528674;-0.003637549;-7.5000005;26.7;-39.600002;12.960917;-3.6271539;-1.2298101;-;-;-;-;-;-
1531162909759;-;-;-0.32093263;0.82388675;9.83874;0.074630655;0.048775144;0.0043519344;-7.5000005;26.7;-39.600002;12.960917;-3.6271539;-1.2298101;-;-;-;-;-;-
1531162909768;-;-;-0.34488282;0.7759864;9.79084;0.05918432;0.044514086;0.030983547;-6.6000004;25.2;-39.0;12.944683;-3.7707565;-1.3162493;-;-;-;-;-;-
1531162909778;-;-;-0.23950197;0.7711963;9.843531;0.025628489;0.005631933;0.04003829;-6.6000004;25.2;-39.0;12.944683;-3.7707565;-1.3162493;-;-;-;-;-;-
1531162909788;-;-;-0.07185059;0.6562354;9.74773;-0.012188398;-0.013542827;0.030983547;-5.25;25.500002;-38.25;12.924656;-3.8765013;-1.3808078;-;-;-;-;-;-
1531162909798;-;-;0.0047900393;0.5891748;9.627979;-0.038287375;-0.0018249184;0.023526695;-5.25;25.500002;-38.25;12.924656;-3.8765013;-1.3808078;-;-;-;-;-;-
1531162909809;-;-;-0.019160157;0.5604346;9.733359;-0.072908476;0.028535118;0.009145624;-6.7500005;24.300001;-40.050003;12.877184;-3.9120495;-1.391845;-;-;-;-;-;-
1531162909819;-;-;-0.16765137;0.6466553;9.848321;-0.07610427;0.054101467;0.0048845666;-6.7500005;24.300001;-40.050003;12.877184;-3.9120495;-1.391845;-;-;-;-;-;-
1531162909829;-;-;-0.29698244;0.6610254;10.126143;-0.06811479;0.053568836;0.008612991;-7.8;25.650002;-40.050003;12.846057;-3.8769517;-1.3795853;-;-;-;-;-;-
1531162909839;-;-;-0.32093263;0.6993457;10.293795;-0.051603183;0.055699363;0.016069844;-7.8;25.650002;-40.050003;12.846057;-3.8769517;-1.3795853;-;-;-;-;-;-
1531162909850;-;-;-0.26345217;0.6322852;10.365645;-0.018579986;0.048775144;0.03258144;-7.05;25.500002;-40.2;12.842906;-3.7975926;-1.4306169;-;-;-;-;-;-
1531162909859;-;-;-0.28261232;0.60354495;10.322535;0.006986362;0.030133015;0.034179337;-7.05;25.500002;-40.2;12.842906;-3.7975926;-1.4306169;-;-;-;-;-;-
1531162909869;-;-;-0.19160157;0.5364844;10.207574;0.02829165;0.009892991;0.031516176;-6.3;25.800001;-39.45;12.827822;-3.7320821;-1.4908794;-;-;-;-;-;-
1531162909879;-;-;-0.11496094;0.46942386;10.097403;0.03787903;-0.013010195;0.01074352;-6.3;25.800001;-39.45;12.827822;-3.7320821;-1.4908794;-;-;-;-;-;-
1531162909889;-;-;-0.28261232;0.5460645;10.035132;0.045335885;-0.015673356;-0.0068333424;-6.0;27.6;-39.45;12.791171;-3.7253032;-1.5307356;-;-;-;-;-;-
1531162909900;-;-;-0.3544629;0.6562354;9.934542;0.043205354;0.0013708749;-0.019083884;-6.0;27.6;-39.45;12.791171;-3.7253032;-1.5307356;-;-;-;-;-;-
1531162909910;-;-;-0.33530274;0.68018556;9.857901;0.040542193;0.0050993003;-0.010561769;-6.3;25.500002;-39.0;12.766839;-3.7651126;-1.5266421;-;-;-;-;-;-
1531162909920;-;-;-0.28261232;0.728086;9.896221;0.0373464;0.015219312;0.0070150956;-6.3;25.500002;-39.0;12.766839;-3.7651126;-1.5266421;-;-;-;-;-;-
1531162909930;-;-;-0.17244141;0.6514453;9.656719;0.024563225;0.0045666685;0.0139393145;-5.8500004;25.95;-38.100002;12.781684;-3.810968;-1.5259566;-;-;-;-;-;-
1531162909940;-;-;-0.081430666;0.5748047;9.599238;0.012312684;0.01681721;0.0139393145;-5.8500004;25.95;-38.100002;12.781684;-3.810968;-1.5259566;-;-;-;-;-;-
1531162909951;-;-;-0.100590825;0.57001466;9.68067;-0.01964525;0.046644617;-0.008963872;-6.4500003;25.650002;-38.4;12.783674;-3.8531618;-1.5366266;-;-;-;-;-;-
1531162909960;-;-;-0.3065625;0.613125;9.814791;-0.027634734;0.048242513;-0.020149147;-6.4500003;25.650002;-38.4;12.783674;-3.8531618;-1.5366266;-;-;-;-;-;-
1531162909970;-;-;-0.3879932;0.5556446;9.977652;-0.034026317;0.039720397;-0.018018618;-4.9500003;24.45;-39.0;12.772227;-3.8714693;-1.5519996;-;-;-;-;-;-
1531162909980;-;-;-0.3161426;0.5364844;9.996812;-0.02923263;0.029600384;-0.017485986;-4.9500003;24.45;-39.0;12.772227;-3.8714693;-1.5519996;-;-;-;-;-;-
1531162909991;-;-;-0.21076173;0.46463382;10.049502;-0.016449457;0.0066971965;-0.029736528;-4.8;26.7;-38.100002;12.787036;-3.8419335;-1.6074523;-;-;-;-;-;-
1531162910001;-;-;-0.17244141;0.46463382;9.987232;-0.016449457;-0.011944931;-0.035062853;-4.8;26.7;-38.100002;12.787036;-3.8419335;-1.6074523;-;-;-;-;-;-
1531162910011;-;-;-0.10538086;0.488584;9.910591;-0.010590502;-0.020467047;-0.07021658;-5.8500004;25.050001;-39.300003;12.805707;-3.8079405;-1.6483158;-;-;-;-;-;-
1531162910021;-;-;-0.24908204;0.5412744;9.944121;-0.012188398;-0.022597576;-0.07980396;-5.8500004;25.050001;-39.300003;12.805707;-3.8079405;-1.6483158;-;-;-;-;-;-
1531162910032;-;-;-0.34009278;0.5748047;9.920172;-0.008992605;-0.030587059;-0.09152187;-7.8;25.35;-39.600002;12.842588;-3.788053;-1.6516145;-;-;-;-;-;-
1531162910042;-;-;-0.45505372;0.6993457;9.82437;-0.002068386;-0.032184955;-0.067553416;-6.0;25.2;-40.2;12.925981;-3.7737164;-1.6316514;-;-;-;-;-;-
1531162910052;-;-;-0.45984375;0.728086;9.929751;-0.004198915;-0.023130208;-0.047313392;-6.0;25.2;-40.2;12.925981;-3.7737164;-1.6316514;-;-;-;-;-;-
1531162910062;-;-;-0.35925296;0.67539555;9.843531;-0.0036662826;0.0029687716;-0.032932322;-7.05;24.45;-39.45;13.015526;-3.7646468;-1.6047695;-;-;-;-;-;-
1531162910072;-;-;-0.36883304;0.6179151;9.80521;-0.008459973;0.033861443;-0.035062853;-7.05;24.45;-39.45;13.015526;-3.7646468;-1.6047695;-;-;-;-;-;-
1531162910083;-;-;-0.34967285;0.5987549;9.944121;-0.016449457;0.065819375;-0.03453022;-6.15;27.000002;-39.300003;13.060992;-3.7607732;-1.6046022;-;-;-;-;-;-
1531162910093;-;-;-0.32572266;0.60354495;10.116563;0.012312684;0.09404888;-0.027073367;-6.15;27.000002;-39.300003;13.060992;-3.7607732;-1.6046022;-;-;-;-;-;-
