TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531162991214;-;-;-0.6706055;0.4023633;9.79084;-0.05298671;0.053268112;0.0164696;15.450001;57.600002;-41.25;347.59247;-5.606515;-4.628083;-;-;-;-;-;-
1531162991215;-;-;-0.6706055;0.4023633;9.79084;-0.05298671;0.053268112;0.0164696;15.450001;57.600002;-41.25;347.59247;-5.606515;-4.628083;-;-;-;-;-;-
1531162991237;-;-;-0.6945557;0.44547364;9.637559;-0.15258893;-0.0037235357;0.06920019;14.85;58.500004;-43.5;347.55838;-5.5922422;-4.671241;-;-;-;-;-;-
1531162991237;-;-;-0.6945557;0.44547364;9.637559;-0.15258893;-0.0037235357;0.06920019;14.85;58.500004;-43.5;347.55838;-5.5922422;-4.671241;-;-;-;-;-;-
1531162991242;-;-;-0.6227051;0.52690434;9.589659;-0.17495948;-0.027691986;0.07346125;14.85;58.500004;-43.5;347.55838;-5.5922422;-4.671241;-;-;-;-;-;-
1531162991252;-;-;-0.4263135;0.60354495;9.843531;-0.20851532;-0.09853207;0.05961281;13.950001;58.800003;-43.5;347.51672;-5.5035324;-4.7156763;-;-;-;-;-;-
1531162991263;-;-;-0.28261232;0.6849756;10.322535;-0.19147108;-0.17363322;0.03085067;13.950001;58.800003;-43.5;347.51672;-5.5035324;-4.7156763;-;-;-;-;-;-
1531162991273;-;-;-0.07664063;0.6706055;10.619517;-0.10358677;-0.20346063;-0.020282025;14.1;59.7;-41.7;347.4407;-5.319986;-4.678903;-;-;-;-;-;-
1531162991283;-;-;-0.19160157;0.6993457;10.595567;-0.04606249;-0.1880143;-0.042652577;14.1;59.7;-41.7;347.4407;-5.319986;-4.678903;-;-;-;-;-;-
1531162991293;-;-;-0.29698244;0.5748047;10.193204;0.0018744095;-0.19014482;-0.054370485;15.3;56.7;-44.25;347.41986;-5.106141;-4.4967775;-;-;-;-;-;-
1531162991303;-;-;-0.32093263;0.5987549;9.982442;0.002939674;-0.1864164;-0.0479789;15.3;56.7;-44.25;347.41986;-5.106141;-4.4967775;-;-;-;-;-;-
1531162991313;-;-;-0.2921924;0.5412744;9.766891;-0.027952995;-0.16191532;-0.05969681;14.55;56.100002;-41.850002;347.47723;-5.033125;-4.2780027;-;-;-;-;-;-
1531162991323;-;-;-0.35925296;0.5221143;9.718989;-0.048721995;-0.14327858;-0.08420689;14.55;56.100002;-41.850002;347.47723;-5.033125;-4.2780027;-;-;-;-;-;-
