TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531163255459;-;-;-0.34967285;0.82388675;10.308165;-0.053281337;0.12765491;0.003791358;-6.3;23.85;-40.65;11.583511;-5.351857;-1.5136254;-;-;-;-;-;-
1531163255458;-;-;-0.34967285;0.82388675;10.308165;-0.05860766;0.13724229;-0.0020675964;-6.3;23.85;-40.65;11.583511;-5.351857;-1.5136254;-;-;-;-;-;-
1531163255478;-;-;-0.30177248;0.9963282;10.207574;-0.030910783;0.08184854;0.017107164;-6.3;24.45;-39.45;11.55057;-5.296924;-1.6193956;-;-;-;-;-;-
1531163255478;-;-;-0.30177248;0.9963282;10.207574;-0.030910783;0.08184854;0.017107164;-6.3;24.45;-39.45;11.55057;-5.296924;-1.6193956;-;-;-;-;-;-
1531163255482;-;-;-0.24908204;0.9244776;10.183623;-0.017062346;0.08078328;0.014444002;-6.3;24.45;-39.45;11.55057;-5.296924;-1.6193956;-;-;-;-;-;-
1531163255493;-;-;-0.18681154;0.9580079;10.097403;-0.009072863;0.07865275;0.014444002;-7.2000003;25.050001;-40.050003;11.537019;-5.2352667;-1.7656544;-;-;-;-;-;-
1531163255503;-;-;-0.27303225;0.8143067;10.0063925;-0.026117094;0.047227442;0.012313473;-7.2000003;25.050001;-40.050003;11.537019;-5.2352667;-1.7656544;-;-;-;-;-;-
1531163255513;-;-;-0.24908204;0.8382569;10.025552;-0.026649725;0.028585317;0.0059218863;-5.55;24.150002;-40.65;11.514063;-5.204472;-1.8668057;-;-;-;-;-;-
1531163255524;-;-;-0.12454102;0.8334668;9.939331;-0.036237106;0.018997936;-0.010589712;-5.55;24.150002;-40.65;11.514063;-5.204472;-1.8668057;-;-;-;-;-;-
1531163255534;-;-;-0.22992188;0.7232959;10.0063925;-0.03996553;0.0051494977;-0.030297104;-6.6000004;24.750002;-39.9;11.492231;-5.1813498;-1.9320252;-;-;-;-;-;-
1531163255544;-;-;-0.41194338;0.8286768;9.968072;-0.04955291;-0.01349263;-0.04627607;-6.6000004;24.750002;-39.9;11.492231;-5.1813498;-1.9320252;-;-;-;-;-;-
1531163255554;-;-;-0.5556446;1.0729688;9.982442;-0.02771499;-0.009231572;-0.033492897;-5.55;25.2;-40.65;11.496287;-5.144475;-1.9552709;-;-;-;-;-;-
1531163255565;-;-;-0.6514453;1.0585986;10.097403;0.0026450467;0.018997936;-4.6969973E-4;-5.55;25.2;-40.65;11.496287;-5.144475;-1.9552709;-;-;-;-;-;-
1531163255575;-;-;-0.6179151;0.977168;10.025552;0.01542822;0.029650582;0.014976635;-6.6000004;24.750002;-40.2;11.542084;-5.095943;-1.962342;-;-;-;-;-;-
1531163255585;-;-;-0.44547364;0.92926764;9.982442;0.046853524;0.049890604;0.028825074;-6.6000004;24.750002;-40.2;11.542084;-5.095943;-1.962342;-;-;-;-;-;-
1531163255595;-;-;-0.32572266;0.8430469;9.963282;0.046853524;0.05628219;0.02562928;-7.65;24.750002;-39.0;11.560557;-5.0684276;-1.9706762;-;-;-;-;-;-
1531163255605;-;-;-0.1820215;0.7376661;9.953702;0.050581947;0.052553765;0.014444002;-7.65;24.750002;-39.0;11.560557;-5.0684276;-1.9706762;-;-;-;-;-;-
1531163255616;-;-;-0.20597169;0.732876;9.982442;0.039929304;0.02698742;0.0053892545;-6.7500005;24.300001;-39.600002;11.529529;-5.103697;-2.0072298;-;-;-;-;-;-
1531163255626;-;-;-0.4023633;0.8143067;9.939331;0.03247245;0.012606349;-0.0026002286;-6.7500005;24.300001;-39.600002;11.529529;-5.103697;-2.0072298;-;-;-;-;-;-
1531163255636;-;-;-0.41194338;0.8909473;9.953702;0.012232427;0.0030189687;-0.009524448;-5.55;25.2;-39.9;11.493207;-5.1598926;-2.0673885;-;-;-;-;-;-
1531163255646;-;-;-0.45026368;0.89573735;9.82437;0.006373472;-0.017753687;0.0075197835;-5.55;25.2;-39.9;11.493207;-5.1598926;-2.0673885;-;-;-;-;-;-
1531163255656;-;-;-0.48379397;0.86220706;9.924961;-0.0016160111;-0.018818952;0.004856623;-7.05;24.750002;-41.100002;11.485643;-5.2035737;-2.0934207;-;-;-;-;-;-
1531163255667;-;-;-0.4023633;0.8286768;10.011182;-0.011736023;0.0072800266;0.025096647;-7.05;24.750002;-41.100002;11.485643;-5.2035737;-2.0934207;-;-;-;-;-;-
