TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1530986099553;-;-;-0.93405765;0.74724615;9.623189;-0.04373016;0.18600856;0.03338465;14.700001;64.200005;-37.65;348.12143;-3.5650349;-2.9860487;1017.64667;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099554;-;-;-0.93405765;0.74724615;9.623189;-0.04373016;0.18600856;0.03338465;14.700001;64.200005;-37.65;348.12143;-3.5650349;-2.9860487;1017.64667;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099568;-;-;-0.8143067;0.5460645;10.011182;0.013261491;0.1588443;0.044037297;12.3;62.4;-36.45;348.14133;-3.517013;-3.0128171;1017.64667;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099568;-;-;-0.7232959;0.5843848;10.001602;0.02231624;0.14765903;0.04776572;12.3;62.4;-36.45;348.14133;-3.517013;-3.0128171;1017.64667;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099576;-;-;-0.71371585;0.5604346;9.992022;0.020718342;0.13807166;0.03338465;12.3;62.4;-36.45;348.14133;-3.517013;-3.0128171;1017.64667;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099587;-;-;-0.6658155;0.56522465;9.896221;0.027642561;0.110374786;0.012611995;13.950001;64.65;-37.050003;348.12888;-3.4520562;-3.1826527;1017.64667;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099597;-;-;-0.6993457;0.6658155;9.896221;0.007935169;0.091200024;0.0024919827;13.950001;64.65;-37.050003;348.12888;-3.4520562;-3.1826527;1017.62506;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099607;-;-;-0.7568262;0.62749517;10.068663;-0.0016522111;0.063503146;0.00675304;14.250001;64.350006;-37.050003;348.0649;-3.454517;-3.366577;1017.62506;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099617;-;-;-0.8095166;0.6849756;10.121353;-0.0021848432;0.037404165;3.6145386E-4;14.85;63.9;-38.25;348.04706;-3.4727228;-3.438851;1017.62506;-;-;51.52443367;-0.13367646;0.8299999833106995
1530986099627;-;-;-0.8095166;0.7185059;10.044712;-0.004315372;0.020892568;0.02060148;14.85;63.9;-38.25;348.03613;-3.483338;-3.4960303;1017.62506;-;-;51.52443367;-0.13367646;0.8299999833106995
