TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531048200154;-;-;0.34967285;1.7387843;9.484278;0.080762416;0.03752621;-0.048509583;-14.1;40.5;-39.300003;17.271296;-10.608401;0.25950643;0.0;-;-;51.52536432;-0.133432;0.0
1531048200154;-;-;0.34967285;1.7387843;9.484278;0.080762416;0.03752621;-0.048509583;-14.1;40.5;-39.300003;17.271296;-10.608401;0.25950643;0.0;-;-;51.52536432;-0.133432;0.0
1531048200171;-;-;0.1820215;1.7962648;9.259146;0.06265292;0.035928313;-0.06981487;-16.650002;41.7;-40.65;17.314846;-10.661703;0.26921362;0.0;-;-;51.52536432;-0.133432;0.0
1531048200173;-;-;0.1820215;1.7962648;9.259146;0.050935015;0.036460947;-0.0703475;-16.650002;41.7;-40.65;17.314846;-10.661703;0.26921362;0.0;-;-;51.52536432;-0.133432;0.0
1531048200184;-;-;0.1101709;1.9160157;9.398057;8.670221E-4;-0.0034902631;-0.053318426;-16.650002;41.7;-40.65;17.314846;-10.661703;0.26921362;0.0;-;-;51.52536432;-0.133432;0.0
1531048200194;-;-;0.12933107;1.8968556;9.618399;-0.01884037;7.707948E-4;-0.040535253;-14.400001;41.850002;-39.600002;17.373028;-10.747905;0.21410418;0.0;-;-;51.52536432;-0.133432;0.0
1531048200203;-;-;0.21076173;1.7962648;9.508228;-0.015111946;0.011956072;-0.036806826;-14.400001;41.850002;-39.600002;17.373028;-10.747905;0.21410418;0.0;-;-;51.52536432;-0.133432;0.0
1531048200213;-;-;0.22513184;1.8154249;9.627979;-0.008187726;0.031663463;-0.030947872;-15.6;42.300003;-39.9;17.442928;-10.762629;0.19297156;0.0;-;-;51.52536432;-0.133432;0.0
1531048200223;-;-;0.2203418;1.7818946;9.460327;-0.021503532;0.07746984;-0.035741564;-15.6;42.300003;-39.9;17.442928;-10.762629;0.19297156;1020.7488;-;-;51.52536432;-0.133432;0.0
1531048200233;-;-;0.16765137;1.6621436;9.532178;-0.04227619;0.08492669;-0.029882608;-16.95;40.95;-39.0;17.483128;-10.74557;0.17613976;1020.7488;-;-;51.52536432;-0.133432;0.0
