TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531048621266;-;-;0.56522465;1.2693604;9.843531;-0.0034113242;-0.069653384;0.046882674;-13.650001;30.45;-38.4;22.87441;-7.845458;2.719875;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621266;-;-;0.56522465;1.2693604;9.843531;-0.0034113242;-0.069653384;0.046882674;-13.650001;30.45;-38.4;22.87441;-7.845458;2.719875;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621265;-;-;0.56522465;1.2693604;9.843531;-0.0034113242;-0.069653384;0.046882674;-13.650001;30.45;-38.4;22.87441;-7.845458;2.719875;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621279;-;-;0.68018556;1.346001;9.7142;-0.014063968;-0.07551234;0.04368688;-13.650001;30.45;-38.4;22.87441;-7.845458;2.719875;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621279;-;-;0.68018556;1.346001;9.7142;-0.014063968;-0.07551234;0.04368688;-13.650001;30.45;-38.4;22.87441;-7.845458;2.719875;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621289;-;-;0.67539555;1.331631;9.69504;-0.011400808;-0.037162814;0.03196897;-14.1;30.45;-37.2;22.851707;-7.863977;2.7875078;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621300;-;-;0.5508545;1.3076807;9.867481;-0.010868176;-0.041423872;0.032501604;-14.1;30.45;-37.2;22.851707;-7.863977;2.7875078;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621310;-;-;0.53169435;1.336421;9.70941;-0.024183981;-0.061131265;0.032501604;-14.85;30.000002;-39.9;22.809582;-7.855563;2.874797;1020.6762;-;-;51.52502863;-0.1334877;0.0
1531048621320;-;-;0.5748047;1.2645704;9.73815;-0.022586085;-0.056337576;0.04368688;-14.85;30.000002;-39.9;22.809582;-7.855563;2.874797;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621330;-;-;0.7041358;1.2549903;9.75731;-0.0311082;-0.061663896;0.04368688;-13.650001;29.85;-37.65;22.779228;-7.84042;2.9287744;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621340;-;-;0.68976563;1.2933106;9.74294;-0.04282611;-0.076577604;0.04794794;-14.700001;30.45;-38.100002;22.779228;-7.84042;2.9287744;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621350;-;-;0.74724615;1.21188;9.977652;-0.036434524;-0.06645759;0.028773176;-14.700001;30.45;-38.100002;22.744293;-7.8148665;2.9978704;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621361;-;-;0.78556645;1.2597803;10.106983;-0.008737647;-0.06379443;0.03463213;-13.950001;29.7;-37.800003;22.744293;-7.8148665;2.9978704;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621371;-;-;0.6610254;1.2837305;9.963282;0.01949186;-0.049945988;0.017587898;-13.950001;29.7;-37.800003;22.702744;-7.774716;3.079232;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621381;-;-;0.7376661;1.2597803;9.862691;0.037601355;-0.022781746;0.029838441;-15.3;28.95;-38.25;22.673458;-7.7463655;3.1578188;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621391;-;-;0.6610254;1.2070899;9.527389;0.020024493;-0.008400676;0.051676363;-15.3;28.95;-38.25;22.673458;-7.7463655;3.1578188;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621401;-;-;0.7185059;1.2933106;9.460327;-2.1553092E-4;-4.1119207E-4;0.044752143;-14.1;31.2;-36.75;22.673458;-7.7463655;3.1578188;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621412;-;-;0.75203615;1.22146;9.445957;-0.06519666;0.007578292;0.039958455;-14.1;31.2;-36.75;22.645803;-7.7714715;3.2072499;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621422;-;-;0.81909674;1.22146;9.532178;-0.08650195;-0.007868043;0.016522635;-14.85;29.7;-39.45;22.595165;-7.786335;3.218393;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621432;-;-;0.8765772;1.1448194;9.82437;-0.10567671;-0.011596468;0.006402624;-14.85;29.7;-39.45;22.595165;-7.786335;3.218393;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621445;-;-;0.74724615;1.1160791;10.150093;-0.08969774;-0.035564918;-0.019163724;-12.6;30.150002;-37.2;22.552994;-7.7209835;3.2178276;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621452;-;-;0.6610254;1.096919;10.2315235;-0.05880508;-0.03769545;-0.005847918;-12.6;30.150002;-37.2;22.552994;-7.7209835;3.2178276;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621462;-;-;0.6514453;1.1400293;10.169253;-0.032173466;-0.039293345;-0.0063805506;-14.400001;30.150002;-38.4;22.55154;-7.6037316;3.2363162;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621472;-;-;0.6610254;1.1352394;10.183623;0.0051107914;-0.02810807;0.005869991;-14.400001;30.150002;-38.4;22.55154;-7.6037316;3.2363162;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621483;-;-;0.64186525;1.1735597;10.059082;0.02162239;-0.02331438;0.0090657845;-15.450001;30.45;-39.600002;22.573877;-7.535951;3.273268;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621492;-;-;0.6322852;1.1783496;10.015972;0.048254002;-0.012129101;0.017055267;-15.450001;30.45;-39.600002;22.573877;-7.535951;3.273268;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621502;-;-;0.60833496;1.2070899;9.987232;0.050917163;-0.005204882;0.016522635;-16.5;30.900002;-38.4;22.579515;-7.537029;3.3114543;1020.7282;-;-;51.52502863;-0.1334877;0.0
1531048621512;-;-;0.6514453;1.2310401;9.800421;0.06742877;0.0065130265;0.033034235;-16.5;30.900002;-38.4;22.579515;-7.537029;3.3114543;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621522;-;-;0.6514453;1.3028907;9.75252;0.06370034;0.0027846014;0.03196897;-15.900001;30.000002;-39.0;22.570484;-7.5881;3.324032;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621532;-;-;0.68976563;1.2885206;9.64714;0.054112956;-0.009998572;0.033034235;-15.900001;30.000002;-39.0;22.570484;-7.5881;3.324032;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621542;-;-;0.7424561;1.2645704;9.594449;0.048786633;-0.0062701465;0.03889319;-14.700001;30.900002;-38.850002;22.540869;-7.657025;3.3222106;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621553;-;-;0.81909674;1.2597803;9.632769;0.024818182;-0.0041396176;0.017587898;-14.700001;30.900002;-38.850002;22.540869;-7.657025;3.3222106;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621563;-;-;0.6849756;1.3555812;9.560919;-2.1553092E-4;-0.01639016;0.027707912;-15.150001;30.45;-38.4;22.50136;-7.7224584;3.332533;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621573;-;-;0.64186525;1.3076807;9.73815;-0.028445039;-0.044087034;0.0032068298;-15.150001;30.45;-38.4;22.50136;-7.7224584;3.332533;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621583;-;-;0.76161623;1.2741505;9.848321;-0.03057557;-0.06432706;0.0074678874;-15.3;31.35;-39.9;22.477015;-7.7416725;3.3509338;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621593;-;-;0.7664063;1.2406201;9.905801;-0.0311082;-0.057402838;0.016522635;-15.3;31.35;-39.9;22.477015;-7.7416725;3.3509338;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621603;-;-;0.7089258;1.2981006;9.958491;-0.03057557;-0.057402838;0.009598416;-14.55;29.250002;-36.600002;22.468912;-7.716945;3.4032378;1020.7256;-;-;51.52502863;-0.1334877;0.0
1531048621613;-;-;0.7376661;1.2645704;10.059082;-0.0076723816;-0.03822808;0.012794211;-14.55;29.250002;-36.600002;22.468912;-7.716945;3.4032378;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621624;-;-;0.7664063;1.2933106;10.068663;-0.0076723816;-0.03130386;0.009598416;-13.200001;31.650002;-37.800003;22.466196;-7.680547;3.474237;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621634;-;-;0.75203615;1.3651612;10.212363;0.03120977;-0.0286407;0.0053373585;-13.200001;31.650002;-37.800003;22.466196;-7.680547;3.474237;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621644;-;-;0.71371585;1.2885206;10.2315235;0.05304769;-0.037162814;-0.005315286;-14.400001;30.150002;-36.45;22.461359;-7.663545;3.5241053;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621654;-;-;0.7185059;1.2454102;10.178833;0.077016145;-0.04834809;-0.0015868603;-14.400001;30.150002;-36.45;22.461359;-7.663545;3.5241053;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621664;-;-;0.68976563;1.3076807;9.958491;0.091929846;-0.05580494;0.0032068298;-15.3;30.6;-37.800003;22.46457;-7.687637;3.5596123;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621674;-;-;0.7759864;1.2645704;9.953702;0.100984596;-0.06645759;0.0032068298;-15.3;30.6;-37.800003;22.46457;-7.687637;3.5596123;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621685;-;-;0.7424561;1.2741505;9.939331;0.09725617;-0.08829551;1.1036405E-5;-14.1;31.2;-39.300003;22.479895;-7.7701535;3.6146486;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621694;-;-;0.6610254;1.2549903;9.929751;0.0993867;-0.107470274;0.0016089331;-14.1;31.2;-39.300003;22.479895;-7.7701535;3.6146486;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621704;-;-;0.86220706;1.336421;9.77168;0.09139722;-0.11439449;-0.0042500217;-15.150001;30.150002;-36.75;22.490639;-7.881858;3.6932764;1020.7298;-;-;51.52502863;-0.1334877;0.0
1531048621714;-;-;0.7807764;1.2502003;9.6758795;0.07648351;-0.101611316;1.1036405E-5;-15.150001;30.150002;-36.75;22.490639;-7.881858;3.6932764;1020.7381;-;-;51.52502863;-0.1334877;0.0
1531048621724;-;-;0.7664063;1.2981006;9.460327;0.04559084;-0.10800291;-0.0042500217;-14.1;30.45;-36.75;22.508535;-7.995244;3.8093836;1020.7381;-;-;51.52502863;-0.1334877;0.0
1531048621734;-;-;0.74724615;1.3555812;9.407638;0.006708688;-0.10427448;0.011728945;-14.1;30.45;-36.75;22.508535;-7.995244;3.8093836;1020.7381;-;-;51.52502863;-0.1334877;0.0
1531048621745;-;-;0.8095166;1.2933106;9.350157;-0.03749979;-0.10800291;0.021316325;-13.500001;29.7;-37.050003;22.530233;-8.089481;3.9288821;1020.7381;-;-;51.52502863;-0.1334877;0.0
1531048621755;-;-;0.92926764;1.3028907;9.493857;-0.06519666;-0.10320921;0.017587898;-13.500001;29.7;-37.050003;22.530233;-8.089481;3.9288821;1020.7381;-;-;51.52502863;-0.1334877;0.0
1531048621765;-;-;0.97237796;1.2789404;9.565708;-0.08863248;-0.08882815;0.004272094;-14.55;29.250002;-37.050003;22.542204;-8.107523;4.048951;1020.7381;-;-;51.52502863;-0.1334877;0.0
1531048621775;-;-;1.1304493;1.3028907;9.704619;-0.103013545;-0.08616498;-0.016500562;-14.55;29.250002;-37.050003;22.542204;-8.107523;4.048951;1020.7381;-;-;51.52502863;-0.1334877;0.0
1531048621785;-;-;0.9196875;1.336421;9.6758795;-0.10727461;-0.06858812;-0.021294253;-14.250001;30.300001;-38.25;22.540583;-8.044291;4.167886;1020.7381;-;-;51.52502863;-0.1334877;0.0
