TimeStamp[ms];Prox[Cm];Lux[lux];AccX[m/s^2];AccY[m/s^2];AccZ[m/s^2];GyroX[rad/s];GyroY[rad/s];GyroZ[rad/s];MagnX[uT];MagnY[uT];MagnZ[uT];OrienYaw[degrees];OrienPitch[degrees];OrienRoll[degrees];Press[Pa];Temp[C°];Batt[%];Lat;Lng;Speed[m/s]
1531048425479;-;-;0.119750984;1.0250684;9.70941;-0.05082603;-0.13417237;0.041274745;-16.5;36.300003;-40.050003;20.074568;-5.503728;1.6674548;1020.7016;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425483;-;-;0.20597169;0.9532178;9.656719;-0.061478678;-0.14642291;0.055655815;-14.55;38.850002;-38.7;20.048218;-5.5566278;1.7047447;1020.7016;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425496;-;-;0.3161426;1.0442286;10.130933;-0.07905553;-0.19329454;0.031687364;-14.55;38.850002;-38.7;20.048218;-5.5566278;1.7047447;1020.7016;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425500;-;-;0.33530274;1.0442286;10.092612;-0.06627236;-0.20554508;0.037013687;-14.55;38.850002;-38.7;20.048218;-5.5566278;1.7047447;1020.7016;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425511;-;-;0.3161426;0.91010743;10.274634;-0.03324917;-0.20288192;0.024763148;-16.35;39.600002;-39.9;20.015999;-5.526346;1.8255831;1020.7016;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425521;-;-;0.31135255;0.90052736;10.221944;-0.013541775;-0.18530506;0.018904194;-16.35;39.600002;-39.9;20.015999;-5.526346;1.8255831;1020.7016;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425531;-;-;0.23950197;0.847837;10.245894;0.008296146;-0.17092398;0.017838929;-17.85;38.7;-38.850002;19.984745;-5.441887;2.0342197;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425541;-;-;0.3065625;0.8286768;10.188414;0.010959308;-0.1480208;0.026361044;-16.95;38.550003;-41.550003;19.97916;-5.4026194;2.262499;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425552;-;-;0.45505372;0.977168;10.106983;0.010426675;-0.05321226;0.017306296;-16.95;38.550003;-41.550003;19.97916;-5.4026194;2.262499;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425562;-;-;0.43589357;0.9436377;10.106983;0.012557204;-0.009003784;0.0013273298;-17.550001;38.4;-40.5;19.977278;-5.4094696;2.4500725;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425572;-;-;0.35925296;1.0011182;10.269844;0.028003538;0.011236241;-0.014119005;-17.550001;38.4;-40.5;19.977278;-5.4094696;2.4500725;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425582;-;-;0.43110353;0.9148975;10.226734;0.05783094;0.013899403;-0.016249534;-17.1;38.7;-41.7;19.97147;-5.4239974;2.5176747;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425593;-;-;0.3784131;0.977168;10.250684;0.09831099;0.029345738;-0.0109232105;-17.1;38.7;-41.7;19.97147;-5.4239974;2.5176747;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425603;-;-;0.364043;0.92926764;10.183623;0.106833115;0.016029932;-0.020510592;-15.900001;37.5;-40.65;19.97623;-5.460963;2.5080383;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425613;-;-;0.3305127;1.0059083;9.977652;0.11428996;0.021356253;-0.012521109;-15.900001;37.5;-40.65;19.97623;-5.460963;2.5080383;1020.75183;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425623;-;-;0.28261232;0.9963282;9.905801;0.11215943;0.02029099;-0.011988476;-15.750001;38.100002;-39.300003;19.986217;-5.562442;2.480512;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425633;-;-;0.29698244;1.0490186;9.848321;0.11215943;0.020823622;-0.013053739;-15.750001;38.100002;-39.300003;19.986217;-5.562442;2.480512;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425644;-;-;0.42152345;0.97237796;9.857901;0.10150679;0.02561731;-0.016782166;-16.95;37.2;-39.45;19.998999;-5.692105;2.4561965;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425654;-;-;0.39278322;0.9867481;9.73815;0.08446256;0.02774784;-0.015184268;-16.95;37.2;-39.45;19.998999;-5.692105;2.4561965;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425664;-;-;0.39278322;1.0538087;9.666299;0.05250462;0.019225724;-0.019977959;-15.450001;37.050003;-39.600002;20.010832;-5.8185205;2.4316158;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425674;-;-;0.2682422;1.0059083;9.924961;0.031731963;0.026149943;-0.01039058;-15.450001;37.050003;-39.600002;20.010832;-5.8185205;2.4316158;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425684;-;-;0.35925296;1.0442286;9.992022;0.022677217;0.021356253;-0.015716901;-17.1;36.300003;-39.300003;20.026106;-5.9163465;2.3993387;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425694;-;-;0.32093263;0.9244776;9.920172;0.019481422;0.038400482;-0.016249534;-17.1;36.300003;-39.300003;20.026106;-5.9163465;2.3993387;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425705;-;-;0.3305127;0.97237796;9.915381;0.021079319;0.048520494;-0.019445326;-17.7;38.25;-39.9;20.04089;-5.9567533;2.3694155;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425715;-;-;0.45505372;0.92926764;9.901011;0.014687733;0.08740265;-0.021043224;-17.7;38.25;-39.9;20.04089;-5.9567533;2.3694155;1020.7512;-;-;51.52506211;-0.1334568;1.9700000286102295
1531048425725;-;-;0.3879932;0.9484278;9.862691;0.014155101;0.09912056;-0.02743481;-17.25;38.550003;-39.9;20.05216;-5.9833126;2.3248026;1020.7551;-;-;51.52506211;-0.1334568;1.9700000286102295
